Uma potência de expoente 2 também pode ser chamada de?;quadrado,triplo,raiz,metade;0;
Uma potência de expoente 3 também pode ser chamada de?;cubo,dobro,produto,quociente;0;
A raiz quadrada de um número representa?;um valor que multiplicado por si mesmo gera o número,o dobro do número,a metade do número,o sucessor do número;0;
Números primos possuem?;exatamente dois divisores positivos,mais de quatro divisores,apenas divisores pares,apenas um divisor;0;
O mínimo múltiplo comum é usado para?;encontrar múltiplos comuns,resolver potências,encontrar raízes irracionais,medir ângulos;0;
O máximo divisor comum é usado para?;encontrar divisores comuns,resolver inequações,calcular áreas,encontrar perímetros;0;
Uma razão representa?;uma comparação entre quantidades,uma soma de valores,um tipo de potência,uma figura geométrica;0;
Uma proporção ocorre quando?;duas razões são iguais,dois números são negativos,duas figuras possuem áreas iguais,dois ângulos somam 360 graus;0;
Grandezas diretamente proporcionais variam?;na mesma direção,de forma oposta,de maneira aleatória,com soma constante;0;
Grandezas inversamente proporcionais variam?;em sentidos opostos,na mesma direção,sempre igualmente,com diferença constante;0;
Uma expressão algébrica contém?;números e variáveis,apenas números,apenas figuras geométricas,apenas frações;0;
Uma equação representa?;uma igualdade matemática,uma desigualdade,um gráfico circular,uma sequência infinita;0;
Uma incógnita é?;um valor desconhecido,um número primo,uma operação impossível,um resultado decimal;0;
Uma equação do primeiro grau possui?;expoente máximo igual a 1,duas incógnitas obrigatórias,apenas soluções negativas,gráfico circular;0;
Uma inequação representa?;uma desigualdade matemática,uma igualdade exata,uma operação impossível,um número irracional;0;
O plano cartesiano é formado por?;dois eixos perpendiculares,duas parábolas,três retas paralelas,um círculo e uma reta;0;
O eixo horizontal do plano cartesiano é chamado de?;eixo x,eixo y,eixo z,eixo central;0;
O eixo vertical do plano cartesiano é chamado de?;eixo y,eixo x,eixo z,eixo paralelo;0;
Um par ordenado representa?;a posição de um ponto no plano,o valor de uma potência,uma fração equivalente,uma razão numérica;0;
A média aritmética é calculada por?;soma dos valores dividida pela quantidade,multiplicação dos valores,soma do maior com o menor,produto dividido pelo menor;0;
A mediana corresponde?;ao valor central dos dados ordenados,ao valor mais frequente,à soma dos valores,ao maior valor observado;0;
A moda representa?;o valor que mais aparece,o valor central,o menor valor,o resultado da divisão;0;
A probabilidade de um evento impossível é?;0,1,50%,100%;0;
A probabilidade de um evento certo é?;1,0,50%,25%;0;
Um ângulo agudo mede?;menos de 90 graus,exatamente 90 graus,mais de 180 graus,exatamente 180 graus;0;
Um ângulo obtuso mede?;mais de 90 graus e menos de 180 graus,menos de 90 graus,exatamente 90 graus,360 graus;0;
A soma dos ângulos internos de um triângulo é?;180 graus,90 graus,360 graus,270 graus;0;
Um triângulo equilátero possui?;todos os lados iguais,apenas dois lados iguais,um ângulo reto,apenas lados paralelos;0;
O teorema de Pitágoras é aplicado em?;triângulos retângulos,círculos,trapézios,hexágonos;0;
Uma circunferência é formada por?;pontos equidistantes do centro,segmentos paralelos,ângulos retos,faces planas;0;
Uma reta paralela a outra possui?;a mesma inclinação,ângulo de 90 graus,mesmo ponto inicial,coeficiente igual a zero obrigatoriamente;0;
Retas perpendiculares formam?;ângulos retos,ângulos agudos,ângulos suplementares,ângulos rasos;0;
Um trapézio é um quadrilátero que possui?;um par de lados paralelos,quatro lados iguais,quatro ângulos retos,três lados;0;
Um paralelogramo possui?;lados opostos paralelos,apenas dois lados iguais,uma única diagonal,ângulos sempre retos;0;
O losango é caracterizado por?;quatro lados iguais,quatro ângulos retos,duas bases circulares,apenas três vértices;0;
O volume mede?;o espaço ocupado por um sólido,o comprimento do contorno,a área da base apenas,o número de faces;0;
Um prisma possui?;duas bases paralelas e congruentes,uma única face plana,base obrigatoriamente circular,apenas superfícies curvas;0;
Uma pirâmide possui?;uma base e faces laterais triangulares,duas bases paralelas,apenas faces quadradas,superfície totalmente curva;0;
A área de um retângulo é calculada por?;base vezes altura,soma dos lados,base mais altura,base dividida pela altura;0;
O perímetro de um quadrado é calculado por?;quatro vezes a medida do lado,lado ao quadrado,base vezes altura,soma das diagonais;0;
Uma porcentagem representa?;uma razão sobre 100,uma multiplicação obrigatória,um número irracional,uma equação sem solução;0;
Um desconto de 20% significa?;redução de vinte partes em cada cem,aumento de vinte unidades,divisão por vinte,multiplicação por cem;0;
Um aumento percentual representa?;crescimento proporcional de um valor,diminuição obrigatória,divisão do valor por 100,transformação geométrica;0;
Uma fração equivalente possui?;mesmo valor que outra fração,denominador igual a zero,numerador sempre maior,resultado negativo obrigatório;0;
Uma fração própria possui?;numerador menor que o denominador,numerador maior que o denominador,denominador igual a um,valor inteiro obrigatório;0;
Uma fração imprópria possui?;numerador maior ou igual ao denominador,numerador menor que o denominador,denominador negativo,valor decimal obrigatório;0;
Um número decimal periódico apresenta?;repetição infinita de algarismos,apenas duas casas decimais,valor inteiro fixo,ausência de vírgula;0;
A escrita científica é usada para?;representar números muito grandes ou pequenos,resolver equações do segundo grau,calcular áreas,encontrar médias;0;
Uma função representa?;uma relação entre valores de entrada e saída,um sólido geométrico,uma sequência aleatória,um tipo de fração;0;
Uma função afim possui gráfico em forma de?;reta,parábola,circunferência,hipérbole;0;
Uma função quadrática possui gráfico em forma de?;parábola,reta,circunferência,segmento de reta;0;
O vértice de uma parábola representa?;ponto de máximo ou mínimo,o centro do plano cartesiano,o ponto onde y é sempre zero,o coeficiente angular;0;
O coeficiente angular de uma reta indica?;a inclinação da reta,o ponto médio,o valor do eixo y,o tamanho do gráfico;0;
O coeficiente linear de uma reta indica?;o ponto onde a reta corta o eixo y,o valor máximo da função,a inclinação da reta,o domínio da função;0;
Uma sequência aritmética possui?;diferença constante,razão constante,produto constante,expoente constante;0;
Uma sequência geométrica possui?;razão constante,diferença constante,soma constante,domínio constante;0;
Uma função crescente apresenta?;aumento dos valores de y quando x aumenta,valores constantes,redução dos valores de y,gráfico circular;0;
Uma função decrescente apresenta?;redução dos valores de y quando x aumenta,valores sempre positivos,gráfico constante,ausência de domínio;0;
A probabilidade é usada para?;medir chances de ocorrência,calcular perímetros,resolver raízes quadradas,medir temperatura;0;
Um evento aleatório é aquele cujo resultado?;não pode ser previsto com certeza,é sempre igual a zero,é sempre positivo,nunca varia;0;
Uma expressão numérica é formada por?;números e operações matemáticas,apenas letras,figuras geométricas,ângulos retos;0;
A prioridade das operações em uma expressão segue?;parênteses antes das demais operações,multiplicação sempre por último,soma antes da divisão,ordem aleatória;0;
O quadrado de um número representa?;o número multiplicado por ele mesmo,o dobro do número,a raiz do número,o sucessor do número;0;
O cubo de um número representa?;o número multiplicado três vezes por ele mesmo,o triplo do número,o dobro do quadrado,a metade do número;0;
Uma igualdade permanece verdadeira quando?;a mesma operação é feita nos dois lados,apenas um lado é alterado,os números são trocados,a ordem é invertida;0;
Uma equação equivalente mantém?;o mesmo conjunto de soluções,os mesmos coeficientes,o mesmo tamanho,a mesma incógnita obrigatoriamente;0;
Resolver uma equação significa?;encontrar o valor da incógnita,calcular a média,encontrar múltiplos,determinar porcentagens;0;
Uma variável é?;um símbolo que representa valores,um número fixo obrigatório,uma operação geométrica,um tipo de gráfico;0;
Um gráfico cartesiano serve para?;representar relações entre valores,medir áreas de figuras,encontrar números primos,realizar divisões;0;
O ponto (3,2) no plano cartesiano indica?;x=3 e y=2,x=2 e y=3,x=-3 e y=-2,x=0 e y=0;0;
Uma reta horizontal possui?;coeficiente angular igual a zero,coeficiente angular infinito,curvatura constante,dois vértices;0;
Uma reta vertical possui?;valor de x constante,valor de y constante,coeficiente angular igual a zero,formato parabólico;0;
A distância entre dois números na reta numérica representa?;a diferença entre eles,a soma dos números,o produto entre eles,a média aritmética;0;
O valor absoluto de um número representa?;sua distância até zero,seu dobro,seu inverso,seu sucessor;0;
Um sistema de equações possui?;duas ou mais equações relacionadas,apenas uma incógnita obrigatoriamente,apenas soluções negativas,apenas números inteiros;0;
A solução de um sistema é?;um conjunto de valores que satisfaz todas as equações,o maior coeficiente,o determinante do sistema,o valor da média;0;
Um sistema impossível possui?;nenhuma solução,uma única solução,infinitas soluções,apenas soluções positivas;0;
Um sistema possível determinado possui?;uma única solução,nenhuma solução,infinitas soluções,duas soluções obrigatórias;0;
Um sistema possível indeterminado possui?;infinitas soluções,nenhuma solução,uma única solução,apenas soluções inteiras;0;
Uma função constante apresenta?;o mesmo valor de saída para qualquer entrada,valores sempre crescentes,gráfico parabólico,coeficiente angular positivo;0;
Uma tabela de valores pode ser usada para?;construir gráficos,resolver potências,encontrar MMC,medir ângulos;0;
Uma razão percentual de 50% equivale a?;metade do total,o dobro do total,um terço do total,dez por cento;0;
Uma escala em mapas representa?;a relação entre medidas reais e representadas,a temperatura do local,a distância entre países,o número de coordenadas;0;
Uma transformação de unidades mantém?;a mesma grandeza física,o mesmo número obrigatoriamente,o mesmo símbolo,a mesma operação;0;
Um número racional pode ser escrito como?;fração entre inteiros,raiz irracional obrigatória,número sem representação decimal,apenas número negativo;0;
Um número irracional não pode ser escrito como?;fração entre inteiros,número decimal,número positivo,valor numérico;0;
A soma dos ângulos internos de um quadrilátero é?;360 graus,180 graus,90 graus,270 graus;0;
Um polígono convexo possui?;todos os ângulos internos menores que 180 graus,ângulos maiores que 360 graus,lados curvos,apenas três lados;0;
Uma diagonal de um polígono liga?;dois vértices não consecutivos,dois lados paralelos,o centro aos vértices,duas arestas curvas;0;
A estatística é usada para?;coletar e analisar dados,resolver equações e encontrar raizes,calcular volumes de sólidos,encontrar autovalores;0;
A figura apresentada representa qual sólido geométrico?;cubo,esfera,cone,cilindro;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_90.jpg
O gráfico mostrado representa qual tipo de função?;função afim,função quadrática,função exponencial,função periódica;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_91.png
O triângulo da imagem pode ser classificado como?;equilátero,isósceles retângulo,escaleno obtusângulo,retângulo;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_92.png
A figura exibida possui qual característica?;retas paralelas,ângulos retos obrigatórios,lados curvos,diagonais iguais obrigatoriamente;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_93.png
O gráfico apresentado indica qual comportamento?;função decrescente,função constante,função periódica,função crescente;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_94.png
A imagem representa qual fração da figura pintada?;metade,um terço,um quarto,três quartos;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_95.png
O relógio apresentado indica qual horário aproximado?;3 horas,6 horas,9 horas,12 horas;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_96.jpg
A tabela mostrada sugere qual relação entre os valores?;proporcionalidade direta,proporcionalidade inversa,ausência de relação,relação exponencial;0;Imagem\Imagem_ENSINO_MÉDIO_98.png
A figura geométrica apresentada é um exemplo de?;ângulo reto,ângulo agudo,ângulo obtuso,ângulo raso;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_98.png
O gráfico de barras apresentado é mais adequado para?;comparar quantidades entre categorias,representar funções contínuas,mostrar ângulos geométricos,resolver equações;0;Imagem\Imagem_ENSINO_FUNDAMENTAL_II_99.jpg